,id_limpio,title,author,subjects
252,10228,El Presidente Díaz al Señor Edison,"Díaz, Porfirio","{'Edison, Thomas A. (Thomas Alva), 1847-1931'}"
282,10255,La Paloma,,{'Songs -- Instrumental settings'}
289,10261,La Bella Cubano: Habenera,,"{'Habaneras', 'Violin and piano music'}"
290,10262,Que Partes El Alma: Rumba Son,,"{'Folk songs, Spanish -- Cuba'}"
324,10293,"Relación historica de los sucesos de la rebelión de José Gabriel Tupac-Amaru en las provincias del Peru, el año de 1780",Anonymous,"{'Peru -- History -- Insurrection of Tupac Amaru, 1780-1781'}"
561,10506,"Romance de lobos, comedia barbara","Valle-Inclán, Ramón del",{'Spanish drama'}
908,10821,Manfredo: Drama en tres actos,"Byron, George Gordon Byron, Baron",{'Drama'}
909,10822,El paraiso de las mujeres: Novela,"Blasco Ibáñez, Vicente","{'Spanish fiction -- 20th century', 'Women -- Fiction', 'Engineers -- Fiction'}"
912,10825,La Navidad en las Montañas,"Altamirano, Ignacio Manuel",{'Christmas stories'}
1005,10909,Los Amantes de Teruel: Drama en cuatro actos en verso y prosa,"Hartzenbusch, Juan Eugenio",{'Lovers of Teruel (Legend) -- Drama'}
1185,11070,La Fontana de Oro,"Pérez Galdós, Benito","{'Historical fiction', 'Spain -- History -- Revolution, 1820-1823 -- Fiction', 'War stories', 'Spain -- History -- Ferdinand VII, 1813-1833 -- Fiction'}"
1186,11071,Naufragios de Alvar Núñez Cabeza de Vaca,"Núñez Cabeza de Vaca, Alvar, active 16th century","{'America -- Discovery and exploration -- Spanish', 'Southwestern States -- Description and travel', 'Núñez Cabeza de Vaca, Alvar, active 16th century', 'America -- Early accounts to 1600', 'Indians of North America -- Southwestern States', 'Explorers -- America -- Biography', 'Explorers -- Spain -- Biography'}"
1443,11302,"Diario de la navegacion empredida en 1781: Desde el Rio Negro, para reconocer la Bahia de Todos los Santos, las Islas del Buen Suceso, y el desague del Rio Colorado","Villarino, Basilio",{'Argentina -- Discovery and exploration'}
1694,11529,"La Espuma: Obras completas de D. Armando Palacio Valdés, Tomo 7.","Palacio Valdés, Armando","{'Satire', 'Madrid (Spain) -- Social life and customs -- Fiction', 'Spanish fiction'}"
1770,11598,La Montaña,"Reclus, Elisée",{'Mountains'}
1836,11657,La Niña de Luzmela,"Espina, Concha",{'Spanish fiction -- 20th century'}
1843,11663,El Arroyo,"Reclus, Elisée",{'Rivers'}
1849,11669,La Puerta de Bronce y Otros Cuentos,"Romero de Terreros, Manuel, marqués de San Francisco",{'Short stories'}
2522,12274,Viajes por Filipinas: De Manila á Marianas,"Alvarez Guerra, Juan",{'Philippines -- Description and travel'}
2523,12275,Viajes por Filipinas: De Manila á Albay,"Alvarez Guerra, Juan",{'Philippines -- Description and travel'}
2524,12276,Viajes por Filipinas: De Manila á Tayabas,"Alvarez Guerra, Juan",{'Philippines -- Description and travel'}
2701,12435,Paginas Sudamericanas,"Phipps, Helen",{'Spanish language -- Readers'}
2725,12457,El Diablo Cojuelo,"Vélez de Guevara, Luis",{'Devil -- Fiction'}
2774,12500,Buena Nueva de acuerdo a Mateo: Traducción de dominio público abierta a mejoras,,{'Bible. Matthew'}
2775,12501,Buena Nueva de acuerdo a Marcos: Traducción de dominio público abierta a mejoras,,{'Bible. Mark'}
2776,12502,Buena Nueva de acuerdo a Lucas: Traducción de dominio público abierta a mejoras,,{'Bible. Luke'}
2777,12503,Buena Nueva de acuerdo a Juan: Traducción de dominio público abierta a mejoras,,{'Bible. John'}
2914,12627,Escenas Montañesas,"Pereda, José María de",{'Spanish literature'}
3151,12840,Logica,"Piquer, Andres","{'Logic', 'Knowledge, Theory of'}"
3159,12848,Las inquietudes de Shanti Andia,"Baroja, Pío","{'Sea stories', 'Slave trade -- Fiction', 'Ship captains -- Fiction'}"
3563,13210,El Comendador Mendoza: Obras Completas Tomo VII,"Valera, Juan",{'Atonement -- Fiction'}
3569,13216,"Diario histórico de la rebelion y guerra de los pueblos Guaranis situados en la costa oriental del Rio Uruguay, del año de 1754","Henis, Tadéas Xavier","{'Seven Reductions, War of the, 1754-1756'}"
3622,13264,Zalacaín El Aventurero: (Historia de las buenas andanzas y fortunas de Martín Zalacaín el Aventurero),"Baroja, Pío","{'Spain -- History -- Carlist War, 1873-1876 -- Fiction'}"
3837,13458,"Derroteros y viages à la Ciudad Encantada, ó de los Césares.: Que se creia existiese en la Cordillera, al sud de Valdivia.",,"{'Ciudad de los Césares (Legendary place)', 'Chile -- Description and travel', 'Argentina -- Description and travel'}"
3860,13479,"Descripción Geografica, Histórica y Estadística de Bolivia, Tomo 1.","Orbigny, Alcide Dessalines d'","{'Bolivia -- History, Local', 'Bolivia -- Description and travel'}"
3875,13492,Viajes por Europa y América,"Petano y Mazariegos, Gorgonio","{'Europe -- Description and travel', 'South America -- Description and travel'}"
3892,13507,Cuentos de Amor de Locura y de Muerte,"Quiroga, Horacio","{'Short stories, Uruguayan', 'Uruguayan fiction'}"
3902,13516,Expedición de Catalanes y Aragoneses al Oriente,"Moncada, Francisco de","{'Byzantine Empire -- History -- Andronicus II Palaeologus, 1282-1328', 'Catalan Grand Company', 'Flor, Roger de, -1305'}"
3905,13519,La Tierra de Todos,"Blasco Ibáñez, Vicente","{'Man-woman relationships -- Fiction', 'Patagonia (Argentina and Chile) -- Fiction', 'Aristocracy (Social class) -- Fiction', 'Spanish fiction'}"
4004,13608,"Filosofía Fundamental, Tomo I","Balmes, Jaime Luciano",{'Philosophy'}
4333,13904,Un antiguo rencor,"Ohnet, Georges",{'Fiction'}
4702,14236,En el fondo del abismo: La justicia infalible,"Ohnet, Georges",{'Fiction'}
4781,14307,Reseña Veridica de la Revolución Filipina,"Aguinaldo, Emilio","{'Philippines -- History -- Revolution, 1896-1898', 'Philippines -- History -- Philippine American War, 1899-1902'}"
4782,14308,El préstamo de la difunta,"Blasco Ibáñez, Vicente",{'Fiction'}
4786,14311,Bailén,"Pérez Galdós, Benito","{'Bailén, Battle of, Bailén, Spain, 1808 -- Fiction'}"
4793,14318,Belarmino y Apolonio,"Pérez de Ayala, Ramón","{'Shoemakers -- Fiction', 'Spain -- Fiction'}"
4805,14329,"Viajes de un Colombiano en Europa, primera serie","Samper, José María",{'Europe -- Description and travel'}
5242,14722,Contestaciones y Consideraciones: Al Pueblo y Congreso Norte-Americanos,"Mabini, Apolinario","{'Philippines -- History -- Philippine American War, 1899-1902'}"
5289,14765,El Gaucho Martín Fierro,"Hernández, José",{'Gauchos -- Poetry'}
5322,14795,Junto Al Pasig,"Rizal, José",{'Drama'}
5323,14796,El Consejo de los Dioses,"Rizal, José",{'Fiction'}
5371,14839,Filipinas Dentro De Cien Años (Estudio Politico-Social),"Rizal, José","{'Philippines -- Social conditions', 'Philippines -- Politics and government'}"
5488,14944,La Barraca,"Blasco Ibáñez, Vicente","{'Valencia (Spain : Province) -- Fiction', 'Tenant farmers -- Fiction', 'Absentee landlordism -- Fiction'}"
5544,14995,Los Hombres de Pro,"Pereda, José María de",{'Fiction'}
5581,15027,La Novela Picaresca,,"{'Picaresque literature, Spanish', 'Spanish fiction'}"
5602,15046,"Un paseo por Paris, retratos al natural","Barcia, Roque","{'Paris (France) -- Social life and customs', 'Paris (France) -- Description and travel'}"
5611,15054,"Viajes de un Colombiano en Europa, segunda serie","Samper, José María",{'Europe -- Description and travel'}
5624,15066,La Vuelta de Martín Fierro,"Hernández, José",{'Gauchos -- Poetry'}
5679,15115,Novelas y teatro,"Cervantes Saavedra, Miguel de","{'Spanish fiction -- Classical period, 1500-1700', 'Spanish drama -- Classical period, 1500-1700'}"
5780,15206,Torquemada en la hoguera,"Pérez Galdós, Benito",{'Spanish fiction -- 19th century'}
5922,15334,Mindanao: Su Historia y Geografía,"Nieto Aguilar, José",{'Mindanao Island (Philippines)'}
6019,15421,Contribucion Para El Estudio de los Antiguos Alfabetos Filipinos,"Pardo de Tavera, T. H. (Trinidad Hermenegildo)",{'Philippine languages -- Alphabets'}
6254,15633,Etimología de los Nombres de Razas de Filipinas,"Pardo de Tavera, T. H. (Trinidad Hermenegildo)",{'Ethnology -- Philippines'}
6391,15757,Consideraciones Sobre el Origen del Nombre de los Números en Tagalog,"Pardo de Tavera, T. H. (Trinidad Hermenegildo)",{'Tagalog language -- Numerals'}
6753,16082,Angelina: (novela mexicana),"Delgado, Rafael",{'Man-woman relationships -- Fiction'}
6779,16105,Colección de viages y expediciónes à los campos de Buenos Aires y a las costas de Patagonia,,"{'Indians of South America -- Argentina', 'Argentina -- Discovery and exploration', 'Patagonia (Argentina and Chile)'}"
6785,16110,Viage al Parnaso: La Numancia (Tragedia) y El Trato de Argel (Comedia),"Cervantes Saavedra, Miguel de","{'Spanish poetry', 'Spanish drama'}"
6809,16132,"Filosofía Fundamental, Tomo II","Balmes, Jaime Luciano",{'Philosophy'}
6883,1619,La Celestina,"Rojas, Fernando de",{'Spanish fiction'}
6886,16201,Parnaso Filipino: Antología de Poetas del Archipelago Magellanico,"Martín de la Cámara, Eduardo","{'Philippines -- Biography', 'Philippine poetry (Spanish)'}"
7016,16319,"Impresiones, Poesías","Campo Arana, José",{'Poetry'}
