,id_limpio,title,author,genre,subjects,genre_1,genre_2,genre_3
0,10255,LA PALOMA,,MUSIC / Genres & Styles,{'Songs -- Instrumental settings'},MUSIC,GENRES & STYLES,OTHERS
1,10261,LA BELLA CUBANO: HABENERA,,MUSIC / Genres & Styles,"{'Habaneras', 'Violin and piano music'}",MUSIC,GENRES & STYLES,OTHERS
2,10262,QUE PARTES EL ALMA: RUMBA SON,,MUSIC / Genres & Styles,"{'Folk songs, Spanish -- Cuba'}",MUSIC,GENRES & STYLES,OTHERS
3,12500,BUENA NUEVA DE ACUERDO A MATEO: TRADUCCIÓN DE DOMINIO PÚBLICO ABIERTA A MEJORAS,,RELIGION / Biblical Studies,{'Bible. Matthew'},RELIGION,BIBLICAL STUDIES,RELIGION
4,12501,BUENA NUEVA DE ACUERDO A MARCOS: TRADUCCIÓN DE DOMINIO PÚBLICO ABIERTA A MEJORAS,,RELIGION / Biblical Studies,{'Bible. Mark'},RELIGION,BIBLICAL STUDIES,RELIGION
5,12502,BUENA NUEVA DE ACUERDO A LUCAS: TRADUCCIÓN DE DOMINIO PÚBLICO ABIERTA A MEJORAS,,RELIGION / Biblical Studies,{'Bible. Luke'},RELIGION,BIBLICAL STUDIES,RELIGION
6,12503,BUENA NUEVA DE ACUERDO A JUAN: TRADUCCIÓN DE DOMINIO PÚBLICO ABIERTA A MEJORAS,,RELIGION / Biblical Studies,{'Bible. John'},RELIGION,BIBLICAL STUDIES,RELIGION
7,13458,"DERROTEROS Y VIAGES À LA CIUDAD ENCANTADA, Ó DE LOS CÉSARES.: QUE SE CREIA EXISTIESE EN LA CORDILLERA, AL SUD DE VALDIVIA.",,HISTORY / Expeditions & Discoveries,"{'Ciudad de los Césares (Legendary place)', 'Chile -- Description and travel', 'Argentina -- Description and travel'}",HISTORY,EXPEDITIONS & DISCOVERIES,HISTORY
8,15027,LA NOVELA PICARESCA,,FICTION / Classics,"{'Picaresque literature, Spanish', 'Spanish fiction'}",FICTION,CLASSICS,FICTION CLASSICS
9,16105,COLECCIÓN DE VIAGES Y EXPEDICIÓNES À LOS CAMPOS DE BUENOS AIRES Y A LAS COSTAS DE PATAGONIA,,HISTORY / Latin America,"{'Indians of South America -- Argentina', 'Argentina -- Discovery and exploration', 'Patagonia (Argentina and Chile)'}",HISTORY,LATIN AMERICA,HISTORY
10,18157,FUNDACIÓN DE LA CIUDAD DE BUENOS-AIRES,,HISTORY / Latin America,"{'Buenos Aires (Argentina) -- History', 'Paraguay -- History -- To 1811 -- Sources', 'Garay, Juan de, 1528?-1583', 'Argentina -- History -- 1535-1617 -- Sources', 'America -- Early accounts to 1600'}",HISTORY,LATIN AMERICA,HISTORY
