,id_limpio,title,author,subjects,genre_1
0,42065,PROCESO DEL DR. JOSÉ RIZAL MERCADO Y ALONSO,,"{'Rizal, José, 1861-1896', 'Trials (Political crimes and offenses) -- Philippines'}",BIOGRAPHY & AUTOBIOGRAPHY
1,60675,RECUERDOS DE MI VIDA (TOMO 2 DE 2),"RAMÓN Y CAJAL, SANTIAGO","{'Ramón y Cajal, Santiago, 1852-1934', 'Anatomists -- Spain -- Biography'}",BIOGRAPHY & AUTOBIOGRAPHY
2,61339,"CLAROS VARONES DE CASTILLA, Y LETRAS","PULGAR, FERNANDO DEL","{'Nobility -- Spain -- Biography -- Early works to 1800', 'Spain -- History -- 711-1516 -- Biography'}",BIOGRAPHY & AUTOBIOGRAPHY
3,41853,RAFAEL CORDERO: ELOGIO PÓSTUMO,"BRAU, SALVADOR","{'Teachers -- Puerto Rico -- Biography', 'Cordero, Rafael, 1790-1868'}",BIOGRAPHY & AUTOBIOGRAPHY
4,63359,SAN IGNACIO DE LOYOLA,"MARCOS, BENJAMÍN","{'Ignatius, of Loyola, Saint, 1491-1556'}",BIOGRAPHY & AUTOBIOGRAPHY
5,52050,AUTOBIOGRAFÍA: OBRAS COMPLETAS VOL. XV,"DARÍO, RUBÉN","{'Darío, Rubén, 1867-1916'}",BIOGRAPHY & AUTOBIOGRAPHY
6,11071,NAUFRAGIOS DE ALVAR NÚÑEZ CABEZA DE VACA,"NÚÑEZ CABEZA DE VACA, ALVAR, ACTIVE 16TH CENTURY","{'America -- Discovery and exploration -- Spanish', 'Southwestern States -- Description and travel', 'Núñez Cabeza de Vaca, Alvar, active 16th century', 'America -- Early accounts to 1600', 'Indians of North America -- Southwestern States', 'Explorers -- America -- Biography', 'Explorers -- Spain -- Biography'}",BIOGRAPHY & AUTOBIOGRAPHY
7,41575,JUVENILLA; PROSA LIGERA,"CANÉ, MIGUEL","{'Argentine literature', 'Argentina -- Social life and customs'}",BIOGRAPHY & AUTOBIOGRAPHY
8,65815,VIDAS EJEMPLARES: BEETHOVEN—MIGUEL ÁNGEL—TOLSTOI,"ROLLAND, ROMAIN","{'Tolstoy, Leo, graf, 1828-1910', 'Michelangelo Buonarroti, 1475-1564', 'Beethoven, Ludwig van, 1770-1827'}",BIOGRAPHY & AUTOBIOGRAPHY
9,58331,RECUERDOS DE MI VIDA (TOMO 1 DE 2),"RAMÓN Y CAJAL, SANTIAGO","{'Ramón y Cajal, Santiago, 1852-1934', 'Anatomists -- Spain -- Biography'}",BIOGRAPHY & AUTOBIOGRAPHY
10,48857,FIGURAS AMERICANAS: GALERÍA DE HOMBRES ILLUSTRES,"PÉREZ, MIGUEL AGUSTIN",{'America -- Biography'},BIOGRAPHY & AUTOBIOGRAPHY
11,9890,"BIOGRAFIA DEL LIBERTADOR SIMON BOLÍVAR, Ó LA INDEPENDENCIA DE LA AMÉRICA DEL SUD: RESEÑA HISTÓRICO-BIOGRÁFICA","CAMPANO, LORENZO","{'South America -- History -- Wars of Independence, 1806-1830', 'Bolívar, Simón, 1783-1830', 'Heads of state -- South America -- Biography'}",BIOGRAPHY & AUTOBIOGRAPHY
12,26545,ANTONIO AZORÍN: PEQUEÑO LIBRO EN QUE SE HABLA DE LA VIDA DE ESTE PEREGRINO SEÑOR,"MARTÍNEZ RUIZ, JOSÉ","{'Azorín, 1873-1967'}",BIOGRAPHY & AUTOBIOGRAPHY
13,53294,RECUERDOS DEL TIEMPO VIEJO,"ZORRILLA, JOSÉ","{'Zorrilla, José, 1817-1893'}",BIOGRAPHY & AUTOBIOGRAPHY
14,73179,COLON EN PUERTO-RICO,"COLL Y TOSTE, CAYETANO","{'Puerto Rico -- History -- To 1898', 'Columbus, Christopher, 1451-1506'}",BIOGRAPHY & AUTOBIOGRAPHY
15,59879,AMÉRICO VESPUCIO,"PÉREZ GOMAR, G. (GREGORIO)","{'Vespucci, Amerigo, 1451-1512'}",BIOGRAPHY & AUTOBIOGRAPHY
16,53927,"APUNTES BIOGRAFICOS DE ESCRITORES, ORADORES Y HOMBRES DE ESTADO DE LA REPUBLICA ARGENTINA","GUTIÉRREZ, JUAN MARÍA",{'Argentina -- Biography'},BIOGRAPHY & AUTOBIOGRAPHY
17,58261,VIDA DE CERVANTES,"MAYANS Y SISCAR, GREGORIO","{'Valencia (Spain) -- Intellectual life', 'Cervantes Saavedra, Miguel de, 1547-1616'}",BIOGRAPHY & AUTOBIOGRAPHY
18,30280,VIDA Y OBRAS DE DON DIEGO VELÁZQUEZ,"PICÓN, JACINTO OCTAVIO","{'Velázquez, Diego, 1599-1660'}",BIOGRAPHY & AUTOBIOGRAPHY
19,45171,MIS CONTEMPORANEOS; 1 VICENTE BLASCO IBÁÑEZ,"ZAMACOIS, EDUARDO","{'Blasco Ibáñez, Vicente, 1867-1928'}",BIOGRAPHY & AUTOBIOGRAPHY
20,56047,"CABEZAS: PENSADORES Y ARTISTAS, POLÍTICOS: OBRAS COMPLETAS VOL. XXII","DARÍO, RUBÉN","{'Latin America -- Biography', 'Spain -- Biography', 'Authors, Latin American -- Biography'}",BIOGRAPHY & AUTOBIOGRAPHY
21,67408,"LA VERBENA DE LA PALOMA; O, EL BOTICARIO Y LAS CHULAPAS Y CELOS MAL REPRIMIDOS",,{'Zarzuelas -- Librettos'},DRAMA
22,53947,LA SEÑORITA DE TREVELEZ: FARSA CÓMICA EN TRES ACTOS,"ARNICHES Y BARRERA, CARLOS","{'Spanish drama', 'Comedy plays'}",DRAMA
23,10909,LOS AMANTES DE TERUEL: DRAMA EN CUATRO ACTOS EN VERSO Y PROSA,"HARTZENBUSCH, JUAN EUGENIO",{'Lovers of Teruel (Legend) -- Drama'},DRAMA
24,10821,MANFREDO: DRAMA EN TRES ACTOS,"BYRON, GEORGE GORDON BYRON, BARON",{'Drama'},DRAMA
25,49013,LA VENGANZA DE DON MENDO,"MUÑOZ SECA, PEDRO",{'Spanish drama'},DRAMA
26,51465,"COMEDIA LLAMADA SELVAGIA, COMEDIA SERAFINA","VILLEGAS, ALONSO DE","{'Spanish drama -- Classical period, 1500-1700'}",DRAMA
27,52036,UN AÑO EN QUINCE MINUTOS: PIEZA EN UN ACTO,"GARCÍA GONZÁLEZ, MANUEL",{'Spanish drama'},DRAMA
28,65486,DRAMAS (1 DE 2): HERNANI; EL REY SE DIVIERTE; LOS BURGRAVES,"HUGO, VICTOR",{'French drama -- Translations into Spanish'},DRAMA
29,56454,HAMLET: DRAMA EN CINCO ACTOS,"SHAKESPEARE, WILLIAM","{""Murder victims' families -- Drama"", 'Revenge -- Drama', 'Kings and rulers -- Succession -- Drama', 'Tragedies (Drama)', 'Hamlet (Legendary character) -- Drama', 'Princes -- Drama', 'Denmark -- Drama', 'Fathers -- Death -- Drama'}",DRAMA
30,67726,SEÑORA AMA: COMEDIA EN TRES ACTOS,"BENAVENTE, JACINTO","{'Husband and wife -- Drama', 'Jealousy -- Drama', 'Spanish drama -- 20th century'}",DRAMA
31,63509,EDIPO REY; EDIPO EN COLONA; ANTÍGONA,SOPHOCLES,"{'Tragedies (Drama)', 'Oedipus (Greek mythological figure) -- Drama'}",DRAMA
32,69799,"COMEDIAS, TOMO 2 DE 3 : $B LAS AVISPAS, LA PAZ, LAS AVES, LISÍSTRATA",ARISTOPHANES,"{'Athens (Greece) -- Drama', 'Greek drama (Comedy) -- Translations into Spanish', 'Aristophanes -- Translations into Spanish'}",DRAMA
33,31707,CARLOS BROSCHI,"SCRIBE, EUGÈNE",{'French fiction -- Translations into Spanish'},DRAMA
34,60927,COMEDIAS ESCOGIDAS,"FERNÁNDEZ DE MORATÍN, LEANDRO",{'Spanish drama -- 19th century'},DRAMA
